sticker_id,country,display_name,normalized_name,category
0,Special,Panini Logo We Are Panini,panini logo we are panini,logo
FWC1,FIFA World Cup,Official Emblem FIFA World Cup 2026,official emblem fifa world cup 2026,badge
FWC2,FIFA World Cup,Official Emblem FIFA World Cup 2026,official emblem fifa world cup 2026,badge
FWC3,FIFA World Cup,Official Mascots FIFA World Cup 2026,official mascots fifa world cup 2026,badge
FWC4,FIFA World Cup,Official Slogan FIFA World Cup 2026,official slogan fifa world cup 2026,badge
FWC5,FIFA World Cup,Official Ball FIFA World Cup 2026,official ball fifa world cup 2026,badge
FWC6,FIFA World Cup,Canada Host Countries and Cities,canada host countries and cities,badge
FWC7,FIFA World Cup,Mexico Host Countries and Cities,mexico host countries and cities,badge
FWC8,FIFA World Cup,USA Host Countries and Cities,usa host countries and cities,badge
MEX1,Mexico,Emblem Mexico,emblem mexico,badge
MEX2,Mexico,Luis Malagón,luis malagon,player
MEX3,Mexico,Johan Vasquez,johan vasquez,player
MEX4,Mexico,Jorge Sánchez,jorge sanchez,player
MEX5,Mexico,Cesar Montes,cesar montes,player
MEX6,Mexico,Jesus Gallardo,jesus gallardo,player
MEX7,Mexico,Israel Reyes,israel reyes,player
MEX8,Mexico,Diego Lainez,diego lainez,player
MEX9,Mexico,Carlos Rodriguez,carlos rodriguez,player
MEX10,Mexico,Edson Alvarez,edson alvarez,player
MEX11,Mexico,Orbelin Pineda,orbelin pineda,player
MEX12,Mexico,Marcel Ruiz,marcel ruiz,player
MEX13,Mexico,Team Photo,team photo,badge
MEX14,Mexico,Érick Sánchez,erick sanchez,player
MEX15,Mexico,Hirving Lozano,hirving lozano,player
MEX16,Mexico,Santiago Giménez,santiago gimenez,player
MEX17,Mexico,Raúl Jiménez,raul jimenez,player
MEX18,Mexico,Alexis Vega,alexis vega,player
MEX19,Mexico,Roberto Alvarado,roberto alvarado,player
MEX20,Mexico,Cesar Huerta,cesar huerta,player
RSA1,South Africa,Emblem South Africa,emblem south africa,badge
RSA2,South Africa,Ronwen Williams,ronwen williams,player
RSA3,South Africa,Sipho Chaine,sipho chaine,player
RSA4,South Africa,Aubrey Modiba,aubrey modiba,player
RSA5,South Africa,Samukele Kabini,samukele kabini,player
RSA6,South Africa,Mbekezeli Mbokazi,mbekezeli mbokazi,player
RSA7,South Africa,Khulumani Ndamane,khulumani ndamane,player
RSA8,South Africa,Siyabonga Ngezana,siyabonga ngezana,player
RSA9,South Africa,Khuliso Mudau,khuliso mudau,player
RSA10,South Africa,Nkosinathi Sibisi,nkosinathi sibisi,player
RSA11,South Africa,Teboho Mokoena,teboho mokoena,player
RSA12,South Africa,Thalente Mbatha,thalente mbatha,player
RSA13,South Africa,Team Photo,team photo,badge
RSA14,South Africa,Bathasi Aubaas,bathasi aubaas,player
RSA15,South Africa,Yaya Sithole,yaya sithole,player
RSA16,South Africa,Sipho Mbule,sipho mbule,player
RSA17,South Africa,Lyle Foster,lyle foster,player
RSA18,South Africa,Iqraam Rayners,iqraam rayners,player
RSA19,South Africa,Mohau Nkota,mohau nkota,player
